,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
84,84,moonfall,1,2,6,5
85,85,black widow,1,2,6,5
86,86,léon,1,3,18,14
87,87,interceptor,1,2,18,51
88,88,ford v ferrari,1,11,18,57
89,89,trading paint,1,14,1,17
90,90,resident evil,1,10,6,20
91,91,red notice,1,9,14,26
92,92,zack snyder's justice league,1,2,2,9
93,93,mission: impossible,1,2,14,43
94,94,enola holmes,1,2,4,44
95,95,suicide squad,1,2,2,9
96,96,spider-man: homecoming,1,2,6,5
97,97,blade runner,1,14,6,13
98,98,the avengers,1,2,6,5
99,99,doragon boru supa supa hiro,4,1,3,23
100,100,aquaman and the lost kingdom,1,2,2,9
101,101,f9,1,3,14,0
102,102,the moderator,1,14,14,39
103,103,spider-man,1,2,6,5
104,104,captain marvel,1,2,6,5
105,105,the last duel,1,14,8,40
106,106,captain america: the first avenger,1,2,6,5
107,107,iron man,1,2,6,5
108,108,captain america: new world order,1,2,6,5
109,109,baywatch,1,9,4,24
110,110,star wars: episode ix - the rise of skywalker,1,2,2,9
111,111,batgirl,1,2,4,44
112,112,ghostbusters,1,9,2,86
113,113,guardians of the galaxy vol. 2,1,2,10,15
114,114,independence day,1,2,6,5
115,115,doctor strange,1,2,2,9
116,116,thor: the dark world,1,2,2,9
117,117,predator,1,2,11,52
118,118,mission: impossible - dead reckoning - part one,1,2,14,43
119,119,hit the first case,1,3,18,14
120,120,american made,1,9,4,24
121,121,el camino: a breaking bad movie,1,3,18,14
122,122,con air,1,3,14,0
123,123,dunkirk,1,14,8,40
124,124,aquaman,1,2,2,9
125,125,hellboy,1,2,2,9
126,126,baby driver,1,3,18,14
127,127,armageddon,1,2,6,5
128,128,the lord of the rings: the two towers,1,2,18,51
129,129,1917,1,14,5,13
130,130,the harder they fall,1,14,9,40
131,132,star wars: episode i - the phantom menace,1,2,2,9
132,133,sicario,1,3,18,14
133,134,oldeuboi,1,14,0,49
134,135,star trek,1,2,6,5
135,136,spider-man: into the spider-verse,4,1,3,23
136,137,the flash,1,2,2,9
137,138,the mortal instruments: city of bones,1,2,2,9
138,139,avengers: age of ultron,1,2,6,5
139,140,operation fortune: ruse de guerre,1,9,14,26
140,142,venom: let there be carnage,1,2,6,5
141,143,captain america: civil war,1,2,6,5
142,144,aliens,1,2,6,5
143,145,medieval,1,14,8,40
144,146,watchmen,1,14,0,49
145,147,ant-man,1,2,10,15
146,148,batman begins,1,3,18,14
147,149,the fifth element,1,2,6,5
148,150,the mummy,1,2,2,9
149,151,spree,1,9,4,24
150,152,pirates of the caribbean: dead men tell no tales,1,2,2,9
151,153,manyeo 2: lo go,1,4,14,88
152,154,the woman king,1,14,8,40
153,155,mission: impossible iii,1,2,14,43
154,156,mission: impossible - rogue nation,1,2,14,43
155,157,kingsman: the golden circle,1,2,10,15
156,158,starship troopers,1,2,6,5
157,159,spider-man: far from home,1,2,6,5
158,160,dune: part two,1,2,18,51
159,161,thunderbolts,1,2,6,5
160,162,mission: impossible ii,1,2,14,43
161,163,the incredible hulk,1,2,6,5
162,164,ghosted,1,2,17,51
163,165,fast x,1,3,0,67
164,166,ant-man and the wasp,1,2,10,15
165,167,apocalypto,1,2,18,51
166,168,the nice guys,1,9,4,24
167,169,the tomorrow war,1,2,18,51
168,170,transformers: rise of the beasts,1,2,6,5
169,171,robocop,1,3,6,5
170,172,divergent,1,2,0,67
171,173,transformers,1,2,6,5
172,174,the amazing spider-man,1,2,6,5
173,175,dungeons &amp; dragons,1,2,2,9
174,176,birds of prey and the fantabulous emancipation of one harley quinn,1,2,10,15
175,177,x-men,1,2,6,5
176,178,the living daylights,1,2,14,43
177,179,casino royale,1,2,14,43
178,180,captain america: the winter soldier,1,2,6,5
179,181,star wars: episode vi - return of the jedi,1,2,2,9
180,182,wanted,1,3,14,0
181,183,red dawn,1,14,14,39
182,184,the hunger games: the ballad of songbirds and snakes,1,2,18,51
183,185,the meg,1,10,6,20
184,186,kill bill: vol. 1,1,3,18,14
185,187,rogue one,1,2,6,5
186,188,godzilla vs. kong,1,5,14,58
187,189,major,1,11,18,57
188,190,hitman's wife's bodyguard,1,9,4,24
189,191,edge of tomorrow,1,2,6,5
190,192,pan,1,2,10,15
191,193,the fugitive,1,3,18,14
192,194,jack reacher,1,4,14,88
193,195,the empire strikes back,1,2,2,9
194,196,collateral,1,3,18,14
195,197,the revenant,1,2,18,51
196,198,man of steel,1,2,6,5
197,199,tron,1,2,6,5
198,200,the shallows,1,14,11,93
199,201,the predator,1,2,6,5
200,202,army of thieves,1,9,4,24
201,203,star wars: episode iii - revenge of the sith,1,2,2,9
202,204,justice league,1,2,2,9
203,205,dune,1,2,6,5
204,206,khuda haafiz chapter ii: agni pariksha,1,3,18,14
205,207,eragon,1,2,16,79
206,208,infinite,1,5,14,58
207,209,ready player one,1,2,6,5
208,210,star wars: episode vii - the force awakens,1,2,6,5
209,211,willow,1,2,18,51
210,212,venom,1,2,6,5
211,213,natural born killers,1,3,18,14
212,214,point break,1,3,14,0
213,215,pirates of the caribbean: dead man's chest,1,2,2,9
214,216,the karate kid,1,14,16,83
215,217,san andreas,1,2,14,43
216,218,john carter,1,2,6,5
217,220,the guest,1,4,14,88
218,221,x-men: apocalypse,1,2,6,5
219,222,wonder woman 1984,1,2,2,9
220,223,overlord,1,10,6,20
221,224,black panther: wakanda forever,1,2,18,51
222,233,barbie,2,9,2,4
223,234,the sea beast,4,2,10,7
